       MER     betaTX    betaRCV     length idx TX & RCV        OB1        OB2        OB3   b Kaiser     weight 
 40.050229   0.171100   0.187500         93      50892  62.122453  64.227814  63.023276   0.000000         20 
 40.101834   0.171100   0.187900         93      50893  62.122453  64.227814  63.023276   0.000000         20 
 40.153791   0.171100   0.188300         93      50894  62.122453  64.227814  63.023276   0.000000         20 
 40.206098   0.171100   0.188700         93      50895  62.122453  64.227814  63.023276   0.000000         20 
 40.258754   0.171100   0.189100         93      50896  62.122453  64.227814  63.023276   0.000000         20 
 40.311759   0.171100   0.189500         93      50897  62.122453  64.227814  63.023276   0.000000         20 
 40.365112   0.171100   0.189900         93      50898  62.122453  64.227814  63.023276   0.000000         20 
 40.418811   0.171100   0.190300         93      50899  62.122453  64.227814  63.023276   0.000000         20 
 40.472854   0.171100   0.190700         93      50900  62.122453  64.227814  63.023276   0.000000         20 
 40.527241   0.171100   0.191100         93      50901  62.122453  64.227814  63.023276   0.000000         20 
 40.581969   0.171100   0.191500         93      50902  62.122453  64.227814  63.023276   0.000000         20 
 40.637037   0.171100   0.191900         93      50903  62.122453  64.227814  63.023276   0.000000         20 
 40.692442   0.171100   0.192300         93      50904  62.122453  64.227814  63.023276   0.000000         20 
 40.748184   0.171100   0.192700         93      50905  62.122453  64.227814  63.023276   0.000000         20 
 40.804258   0.171100   0.193100         93      50906  62.122453  64.227814  63.023276   0.000000         20 
 40.860663   0.171100   0.193500         93      50907  62.122453  64.227814  63.023276   0.000000         20 
 40.917396   0.171100   0.193900         93      50908  62.122453  64.227814  63.023276   0.000000         20 
 40.974455   0.171100   0.194300         93      50909  62.122453  64.227814  63.023276   0.000000         20 
 41.031836   0.171100   0.194700         93      50910  62.122453  64.227814  63.023276   0.000000         20 
 41.089535   0.171100   0.195100         93      50911  62.122453  64.227814  63.023276   0.000000         20 
 41.147550   0.171100   0.195500         93      50912  62.122453  64.227814  63.023276   0.000000         20 
 41.205877   0.171100   0.195900         93      50913  62.122453  64.227814  63.023276   0.000000         20 
 41.264511   0.171100   0.196300         93      50914  62.122453  64.227814  63.023276   0.000000         20 
 41.323449   0.171100   0.196700         93      50915  62.122453  64.227814  63.023276   0.000000         20 
 41.382686   0.171100   0.197100         93      50916  62.122453  64.227814  63.023276   0.000000         20 
 41.442217   0.171100   0.197500         93      50917  62.122453  64.227814  63.023276   0.000000         20 
 41.502037   0.171100   0.197900         93      50918  62.122453  64.227814  63.023276   0.000000         20 
 41.562141   0.171100   0.198300         93      50919  62.122453  64.227814  63.023276   0.000000         20 
 41.622523   0.171100   0.198700         93      50920  62.122453  64.227814  63.023276   0.000000         20 
 41.683178   0.171100   0.199100         93      50921  62.122453  64.227814  63.023276   0.000000         20 
 41.744098   0.171100   0.199500         93      50922  62.122453  64.227814  63.023276   0.000000         20 
 41.805278   0.171100   0.199900         93      50923  62.122453  64.227814  63.023276   0.000000         20 
 40.017197   0.171200   0.187000         93      50959  62.095617  64.253070  63.047739   0.000000         20 
 40.068494   0.171200   0.187400         93      50960  62.095617  64.253070  63.047739   0.000000         20 
 40.120145   0.171200   0.187800         93      50961  62.095617  64.253070  63.047739   0.000000         20 
 40.172148   0.171200   0.188200         93      50962  62.095617  64.253070  63.047739   0.000000         20 
 40.224503   0.171200   0.188600         93      50963  62.095617  64.253070  63.047739   0.000000         20 
 40.277209   0.171200   0.189000         93      50964  62.095617  64.253070  63.047739   0.000000         20 
 40.330264   0.171200   0.189400         93      50965  62.095617  64.253070  63.047739   0.000000         20 
 40.383669   0.171200   0.189800         93      50966  62.095617  64.253070  63.047739   0.000000         20 
 40.437421   0.171200   0.190200         93      50967  62.095617  64.253070  63.047739   0.000000         20 
 40.491519   0.171200   0.190600         93      50968  62.095617  64.253070  63.047739   0.000000         20 
 40.545961   0.171200   0.191000         93      50969  62.095617  64.253070  63.047739   0.000000         20 
 40.600747   0.171200   0.191400         93      50970  62.095617  64.253070  63.047739   0.000000         20 
 40.655873   0.171200   0.191800         93      50971  62.095617  64.253070  63.047739   0.000000         20 
 40.711339   0.171200   0.192200         93      50972  62.095617  64.253070  63.047739   0.000000         20 
 40.767141   0.171200   0.192600         93      50973  62.095617  64.253070  63.047739   0.000000         20 
 40.823278   0.171200   0.193000         93      50974  62.095617  64.253070  63.047739   0.000000         20 
 40.879748   0.171200   0.193400         93      50975  62.095617  64.253070  63.047739   0.000000         20 
 40.936546   0.171200   0.193800         93      50976  62.095617  64.253070  63.047739   0.000000         20 
 40.993672   0.171200   0.194200         93      50977  62.095617  64.253070  63.047739   0.000000         20 
 41.051120   0.171200   0.194600         93      50978  62.095617  64.253070  63.047739   0.000000         20 
 41.108889   0.171200   0.195000         93      50979  62.095617  64.253070  63.047739   0.000000         20 
 41.166975   0.171200   0.195400         93      50980  62.095617  64.253070  63.047739   0.000000         20 
 41.225374   0.171200   0.195800         93      50981  62.095617  64.253070  63.047739   0.000000         20 
 41.284082   0.171200   0.196200         93      50982  62.095617  64.253070  63.047739   0.000000         20 
 41.343095   0.171200   0.196600         93      50983  62.095617  64.253070  63.047739   0.000000         20 
 41.402407   0.171200   0.197000         93      50984  62.095617  64.253070  63.047739   0.000000         20 
 41.462016   0.171200   0.197400         93      50985  62.095617  64.253070  63.047739   0.000000         20 
 41.521915   0.171200   0.197800         93      50986  62.095617  64.253070  63.047739   0.000000         20 
 41.582099   0.171200   0.198200         93      50987  62.095617  64.253070  63.047739   0.000000         20 
 41.642563   0.171200   0.198600         93      50988  62.095617  64.253070  63.047739   0.000000         20 
 41.703300   0.171200   0.199000         93      50989  62.095617  64.253070  63.047739   0.000000         20 
 41.764304   0.171200   0.199400         93      50990  62.095617  64.253070  63.047739   0.000000         20 
 41.825568   0.171200   0.199800         93      50991  62.095617  64.253070  63.047739   0.000000         20 
 40.035403   0.171300   0.186900         93      51027  62.068800  64.278403  63.072538   0.000000         20 
 40.086744   0.171300   0.187300         93      51028  62.068800  64.278403  63.072538   0.000000         20 
 40.138439   0.171300   0.187700         93      51029  62.068800  64.278403  63.072538   0.000000         20 
 40.190489   0.171300   0.188100         93      51030  62.068800  64.278403  63.072538   0.000000         20 
 40.242891   0.171300   0.188500         93      51031  62.068800  64.278403  63.072538   0.000000         20 
 40.295646   0.171300   0.188900         93      51032  62.068800  64.278403  63.072538   0.000000         20 
 40.348752   0.171300   0.189300         93      51033  62.068800  64.278403  63.072538   0.000000         20 
 40.402209   0.171300   0.189700         93      51034  62.068800  64.278403  63.072538   0.000000         20 
 40.456014   0.171300   0.190100         93      51035  62.068800  64.278403  63.072538   0.000000         20 
 40.510166   0.171300   0.190500         93      51036  62.068800  64.278403  63.072538   0.000000         20 
 40.564664   0.171300   0.190900         93      51037  62.068800  64.278403  63.072538   0.000000         20 
 40.619507   0.171300   0.191300         93      51038  62.068800  64.278403  63.072538   0.000000         20 
 40.674692   0.171300   0.191700         93      51039  62.068800  64.278403  63.072538   0.000000         20 
 40.730217   0.171300   0.192100         93      51040  62.068800  64.278403  63.072538   0.000000         20 
 40.786081   0.171300   0.192500         93      51041  62.068800  64.278403  63.072538   0.000000         20 
 40.842281   0.171300   0.192900         93      51042  62.068800  64.278403  63.072538   0.000000         20 
 40.898814   0.171300   0.193300         93      51043  62.068800  64.278403  63.072538   0.000000         20 
 40.955678   0.171300   0.193700         93      51044  62.068800  64.278403  63.072538   0.000000         20 
 41.012870   0.171300   0.194100         93      51045  62.068800  64.278403  63.072538   0.000000         20 
 41.070387   0.171300   0.194500         93      51046  62.068800  64.278403  63.072538   0.000000         20 
 41.128225   0.171300   0.194900         93      51047  62.068800  64.278403  63.072538   0.000000         20 
 41.186382   0.171300   0.195300         93      51048  62.068800  64.278403  63.072538   0.000000         20 
 41.244852   0.171300   0.195700         93      51049  62.068800  64.278403  63.072538   0.000000         20 
 41.303634   0.171300   0.196100         93      51050  62.068800  64.278403  63.072538   0.000000         20 
 41.362721   0.171300   0.196500         93      51051  62.068800  64.278403  63.072538   0.000000         20 
 41.422110   0.171300   0.196900         93      51052  62.068800  64.278403  63.072538   0.000000         20 
 41.481796   0.171300   0.197300         93      51053  62.068800  64.278403  63.072538   0.000000         20 
 41.541773   0.171300   0.197700         93      51054  62.068800  64.278403  63.072538   0.000000         20 
 41.602037   0.171300   0.198100         93      51055  62.068800  64.278403  63.072538   0.000000         20 
 41.662582   0.171300   0.198500         93      51056  62.068800  64.278403  63.072538   0.000000         20 
 41.723401   0.171300   0.198900         93      51057  62.068800  64.278403  63.072538   0.000000         20 
 41.784489   0.171300   0.199300         93      51058  62.068800  64.278403  63.072538   0.000000         20 
 41.845839   0.171300   0.199700         93      51059  62.068800  64.278403  63.072538   0.000000         20 
 40.002573   0.171400   0.186400         93      51094  62.042008  64.303686  63.097402   0.000000         20 
